episode_index,fetch_data_duration,fit_on_task_duration
0,35.49148106575012,0.2355668544769287
1,1.335709571838379,0.17359471321105957
2,1.3562240600585938,0.18718600273132324
3,1.3849148750305176,0.17368102073669434
4,1.3007256984710693,0.17420077323913574
5,1.3410048484802246,0.16954755783081055
6,1.2416012287139893,0.1817765235900879
7,1.3073015213012695,0.17611241340637207
8,1.365760087966919,0.18880343437194824
9,1.42209792137146,0.17029237747192383
10,1.2651557922363281,0.16880488395690918
11,1.352173089981079,0.17388272285461426
12,1.2988646030426025,0.16563153266906738
13,1.2805759906768799,0.15856409072875977
14,1.3293838500976562,0.1724410057067871
15,1.3413500785827637,0.1802058219909668
16,1.311579704284668,0.1669929027557373
17,1.218761682510376,0.20610809326171875
18,1.3351490497589111,0.21221375465393066
19,1.3212695121765137,0.1770033836364746
20,1.3531718254089355,0.20503449440002441
21,1.3538458347320557,0.17432141304016113
22,1.3704934120178223,0.1800220012664795
23,1.3941805362701416,0.17670631408691406
24,1.3328421115875244,0.16342401504516602
25,1.379671573638916,0.17331814765930176
26,1.24967622756958,0.16786479949951172
27,1.3336105346679688,0.2634103298187256
28,1.4160001277923584,0.17877650260925293
29,1.345411777496338,0.1749732494354248
30,1.2770156860351562,0.16229844093322754
31,1.343303918838501,0.17058491706848145
32,1.3164808750152588,0.16880345344543457
33,1.3409395217895508,0.1942751407623291
34,1.3443293571472168,0.17191505432128906
35,1.3714303970336914,0.20989751815795898
36,1.367957592010498,0.19078350067138672
37,1.2456245422363281,0.1727313995361328
38,1.3439385890960693,0.1811964511871338
39,1.2390601634979248,0.18017315864562988
40,1.3350589275360107,0.16547799110412598
41,1.3436713218688965,0.20200347900390625
42,1.4027209281921387,0.17353606224060059
43,1.2769296169281006,0.17204928398132324
44,1.319429874420166,0.17542433738708496
45,1.3131871223449707,0.17240524291992188
46,1.230327844619751,0.16387033462524414
47,1.3281986713409424,0.1701817512512207
48,1.3970694541931152,0.19605660438537598
49,1.3317499160766602,0.1611635684967041
50,1.2454090118408203,0.1823725700378418
51,1.35331392288208,0.17316055297851562
52,1.2851052284240723,0.1717393398284912
53,1.2827985286712646,0.17294836044311523
54,1.3495128154754639,0.16643238067626953
55,1.3414793014526367,0.17528438568115234
56,1.3830294609069824,0.17459344863891602
57,1.2180521488189697,0.1767592430114746
58,1.3629035949707031,0.18424773216247559
59,1.2275023460388184,0.17040038108825684
60,1.3598759174346924,0.17440581321716309
61,1.3534107208251953,0.16597628593444824
62,1.3682007789611816,0.16903400421142578
63,1.3411929607391357,0.1632544994354248
64,1.3243744373321533,0.16270780563354492
65,1.3300588130950928,0.1954641342163086
66,1.2138171195983887,0.1722733974456787
67,1.30019211769104,0.17060303688049316
68,1.4179980754852295,0.17349553108215332
69,1.3440613746643066,0.17927885055541992
70,1.2635233402252197,0.16630840301513672
71,1.330141305923462,0.16980338096618652
72,1.3057374954223633,0.1691272258758545
73,1.3178894519805908,0.1672203540802002
74,1.3654050827026367,0.1769545078277588
75,1.3326005935668945,0.16265439987182617
76,1.3902859687805176,0.1587822437286377
77,1.2081396579742432,0.17644548416137695
78,1.3411576747894287,0.17155671119689941
79,1.2553191184997559,0.1656186580657959
80,1.344550371170044,0.1771535873413086
81,1.3206169605255127,0.17319798469543457
82,1.3414158821105957,0.17142057418823242
83,1.3840968608856201,0.16611695289611816
84,1.2999718189239502,0.1691911220550537
85,1.3692295551300049,0.16984343528747559
86,1.2277765274047852,0.16623520851135254
87,1.30743408203125,0.20270323753356934
88,1.383066177368164,0.18027329444885254
89,1.3700685501098633,0.17415428161621094
90,1.25301194190979,0.1982252597808838
91,1.397303819656372,0.16845440864562988
92,1.306051254272461,0.20280742645263672
93,1.3053596019744873,0.16875004768371582
94,1.3813042640686035,0.16887998580932617
95,1.3743503093719482,0.172454833984375
96,1.3889882564544678,0.16731882095336914
97,1.2157564163208008,0.1848618984222412
98,1.3308625221252441,0.17234134674072266
99,1.2540268898010254,0.16959142684936523
100,1.3508813381195068,0.17096376419067383
101,1.369940996170044,0.16664814949035645
102,1.3410248756408691,0.1627364158630371
